用户名称,账期,模型名称,输入token,输出token,缓存读取token,缓存创建token,  输入单价（元/M）  ,  输出单价（元/M）  , 缓存读取单价（元/M）, 缓存创建单价（元/M）,阶梯折扣,总费用（元）,代金券抵扣（元）,充值余额支付（元）,自己算的,相差
凯世通,202607.0,gpt-5.6-luna(≤272K),2337709.0,22484.0,0.0, -   ,7.0,42.0,0.7000000000000001, -   ,1.0,17.308291,-,17.308291,17.308291,1.0
凯世通,202607.0,gpt-5.6-luna(>272K),12616425.0,64745.0,0.0, -   ,14.0,63.0,1.4, -   ,1.0,180.708885,-,180.708885,180.70888499999998,1.0
凯世通,202607.0,gpt-5.6-sol(≤272K),2528147519.0,7981253.0,2343432808.0, -   ,35.0,210.0,3.5, -   ,1.0,16370.44496,-,16370.44496,16343.092842999999,0.9983291769364341
凯世通,202607.0,gpt-5.6-sol(>272K),22773513.0,65139.0,0.0, -   ,70.0,315.0,7.0, -   ,1.0,1614.6649659999998,-,1614.6649659999998,1614.664695,0.9999998321633241
凯世通,202607.0,gpt-5.6-terra(≤272K),184232473.0,681214.0,168821536.0, -   ,17.5,105.0,1.75, -   ,1.0,844.853058,-,844.853058,636.6565555,0.753570753483619
凯世通,202607.0,gpt-image-2,3172.0,14244.0, -   , -   ,56.0,210.0, -   , -   ,1.0,3.168872,0.172242,2.99663,3.168872,1.0
凯世通,202607.0,kimi-k3,173547.0,48751.0,10189312.0, -   ,20.0,100.0,0.1, -   ,1.0,28.724752000000002,-,28.724752000000002,9.3649712,0.326024440524326
凯世通,202607.0,kimi/kimi-k3,220933435.0,3062383.0,243766526.0, -   ,20.0,100.0,0.1, -   ,1.0,712.2281879999999,-,712.2281879999999,4749.2836526,6.66820512388931
凯世通,202607.0,qwen3.7-max,78039131.0,1050957.0,60339968.0, -   ,12.0,36.0,0.2, -   ,1.0,395.040226,9.138052,385.902174,262.2924016,0.663963779729105
凯世通,202607.0,qwen3.7-plus(输入≤256k),110947.0,111597.0,13056.0, -   ,2.0,8.0,1.0, -   ,1.0,1.093778,-,1.093778,1.1016139999999999,1.00716415945466
凯世通,202607.0,tx-em-3-s,117.0,0.0,0.0, -   ,0.14,0.14,1.0, -   ,1.0,7e-05,-,7e-05,1.6380000000000002e-05,0.234
凯世通,202607.0,zhipu/glm-5.2,86154127.0,455565.0,82079872.0, -   ,8.0,28.0,0.25, -   ,1.0,209.509608,3.31177,206.197838,722.5088039999999,3.44857121779351
月度小计,,,,,,,,,,,,108096.30267800001,15221.969364,92874.333314,113224.58187136601,1.04744176319002
说明：本期可开票金额为充值余额支付的金额，代金券抵扣金额不可开票。,,,,,,,,,,,,,,,,
